Image,Ear_Detected,Area_Percent,Num_Detections,Guide_Generated
89rfb (10).png,True,17.31,1,Yes
89rfb (11).png,False,0.00,0,No
89rfb (12).png,True,13.95,1,Yes
89rfb (13).png,False,0.00,0,No
89rfb (2).png,True,8.85,1,Yes
89rfb (3).png,True,27.82,1,Yes
89rfb (4).png,False,0.00,0,No
89rfb (5).png,False,0.00,0,No
89rfb (6).png,False,0.00,0,No
89rfb (7).png,True,17.79,1,Yes
89rfb (8).png,True,21.26,1,Yes
89rfb (9).png,True,22.15,1,Yes
89rfb.png,False,0.00,0,No
90gr (10).png,False,0.00,0,No
90gr (11).png,True,15.60,1,Yes
90gr (12).png,False,0.00,0,No
90gr (13).png,False,0.00,0,No
90gr (2).png,False,0.00,0,No
90gr (3).png,False,0.00,0,No
90gr (4).png,False,0.00,0,No
90gr (5).png,False,0.00,0,No
90gr (6).png,False,0.00,0,No
90gr (7).png,False,0.00,0,No
90gr (8).png,False,0.00,0,No
90gr (9).png,False,0.00,0,No
90gr.png,False,0.00,0,No
90rfb (10).png,False,0.00,0,No
90rfb (11).png,False,0.00,0,No
90rfb (12).png,False,0.00,0,No
90rfb (13).png,False,0.00,0,No
90rfb (2).png,True,17.79,1,Yes
90rfb (3).png,True,16.90,1,Yes
90rfb (4).png,False,0.00,0,No
90rfb (5).png,True,21.57,1,Yes
90rfb (6).png,False,0.00,0,No
90rfb (7).png,True,23.56,1,Yes
90rfb (8).png,False,0.00,0,No
90rfb (9).png,False,0.00,0,No
90rfb.png,True,19.48,2,Yes
91gr (10).png,False,0.00,0,No
91gr (11).png,False,0.00,0,No
91gr (12).png,False,0.00,0,No
91gr (13).png,False,0.00,0,No
91gr (2).png,False,0.00,0,No
91gr (3).png,False,0.00,0,No
91gr (4).png,False,0.00,0,No
91gr (5).png,False,0.00,0,No
91gr (6).png,False,0.00,0,No
91gr (7).png,False,0.00,0,No
91gr (8).png,False,0.00,0,No
91gr (9).png,False,0.00,0,No
91gr.png,True,20.26,1,Yes
91rfb (10).png,True,22.97,2,Yes
91rfb (11).png,True,17.04,4,Yes
91rfb (12).png,True,21.87,2,Yes
91rfb (13).png,False,0.00,0,No
91rfb (2).png,True,11.31,1,Yes
91rfb (3).png,True,17.78,1,Yes
91rfb (4).png,True,15.54,1,Yes
91rfb (5).png,False,0.00,0,No
91rfb (6).png,True,17.35,1,Yes
91rfb (7).png,True,24.65,1,Yes
91rfb (8).png,False,0.00,0,No
91rfb (9).png,False,0.00,0,No
91rfb.png,True,23.83,1,Yes
92gr (10).png,False,0.00,0,No
92gr (11).png,False,0.00,0,No
92gr (12).png,False,0.00,0,No
92gr (13).png,False,0.00,0,No
92gr (2).png,False,0.00,0,No
92gr (3).png,False,0.00,0,No
92gr (4).png,False,0.00,0,No
92gr (5).png,False,0.00,0,No
92gr (6).png,False,0.00,0,No
92gr (7).png,False,0.00,0,No
92gr (8).png,False,0.00,0,No
92gr (9).png,False,0.00,0,No
92gr.png,False,0.00,0,No
92rfb (10).png,False,0.00,0,No
92rfb (11).png,True,14.19,2,Yes
92rfb (12).png,True,16.00,1,Yes
92rfb (13).png,True,29.36,1,Yes
92rfb (2).png,True,16.65,1,Yes
92rfb (3).png,False,0.00,0,No
92rfb (4).png,True,28.01,1,Yes
92rfb (5).png,False,0.00,0,No
92rfb (6).png,False,0.00,0,No
92rfb (7).png,False,0.00,0,No
92rfb (8).png,False,0.00,0,No
92rfb (9).png,False,0.00,0,No
92rfb.png,False,0.00,0,No
93gr (10).png,True,18.85,1,Yes
93gr (11).png,False,0.00,0,No
93gr (12).png,False,0.00,0,No
93gr (13).png,False,0.00,0,No
93gr (2).png,False,0.00,0,No
93gr (3).png,False,0.00,0,No
93gr (4).png,True,20.83,2,Yes
93gr (5).png,False,0.00,0,No
93gr (6).png,False,0.00,0,No
93gr (7).png,False,0.00,0,No
93gr (8).png,False,0.00,0,No
93gr (9).png,False,0.00,0,No
93gr.png,False,0.00,0,No
93rfb (10).png,True,17.47,1,Yes
93rfb (11).png,True,13.58,1,Yes
93rfb (12).png,True,23.64,1,Yes
93rfb (13).png,False,0.00,0,No
93rfb (2).png,False,0.00,0,No
93rfb (3).png,True,17.09,1,Yes
93rfb (4).png,True,16.38,1,Yes
93rfb (5).png,True,25.15,1,Yes
93rfb (6).png,False,0.00,0,No
93rfb (7).png,True,19.94,1,Yes
93rfb (8).png,False,0.00,0,No
93rfb (9).png,False,0.00,0,No
93rfb.png,False,0.00,0,No
94gr (10).png,False,0.00,0,No
94gr (11).png,False,0.00,0,No
94gr (12).png,False,0.00,0,No
94gr (13).png,False,0.00,0,No
94gr (2).png,False,0.00,0,No
94gr (3).png,False,0.00,0,No
94gr (4).png,False,0.00,0,No
94gr (5).png,False,0.00,0,No
