Image,Ear_Detected,Area_Percent,Num_Detections
85rfb (9).png,False,0.00,0
85rfb.png,True,25.45,1
86gr (10).png,False,0.00,0
86gr (11).png,True,11.11,1
86gr (12).png,False,0.00,0
86gr (13).png,False,0.00,0
86gr (2).png,False,0.00,0
86gr (3).png,False,0.00,0
86gr (4).png,False,0.00,0
86gr (5).png,False,0.00,0
86gr (6).png,False,0.00,0
86gr (7).png,False,0.00,0
86gr (8).png,False,0.00,0
86gr (9).png,False,0.00,0
86gr.png,False,0.00,0
86rfb (10).png,False,0.00,0
86rfb (11).png,True,13.74,2
86rfb (12).png,False,0.00,0
86rfb (13).png,True,27.22,1
86rfb (2).png,False,0.00,0
86rfb (3).png,False,0.00,0
86rfb (4).png,False,0.00,0
86rfb (5).png,False,0.00,0
86rfb (6).png,False,0.00,0
86rfb (7).png,False,0.00,0
86rfb (8).png,False,0.00,0
86rfb (9).png,False,0.00,0
86rfb.png,False,0.00,0
87gr (10).png,False,0.00,0
87gr (11).png,False,0.00,0
87gr (12).png,False,0.00,0
87gr (13).png,False,0.00,0
87gr (2).png,False,0.00,0
87gr (3).png,False,0.00,0
87gr (4).png,False,0.00,0
87gr (5).png,False,0.00,0
87gr (6).png,False,0.00,0
87gr (7).png,False,0.00,0
87gr (8).png,False,0.00,0
87gr (9).png,False,0.00,0
87gr.png,False,0.00,0
87rfb (10).png,False,0.00,0
87rfb (11).png,False,0.00,0
87rfb (12).png,False,0.00,0
87rfb (13).png,True,18.37,2
87rfb (2).png,False,0.00,0
87rfb (3).png,False,0.00,0
87rfb (4).png,False,0.00,0
87rfb (5).png,True,27.16,1
87rfb (6).png,False,0.00,0
87rfb (7).png,False,0.00,0
87rfb (8).png,False,0.00,0
87rfb (9).png,True,19.97,1
87rfb.png,True,16.34,4
88gr (10).png,False,0.00,0
88gr (11).png,False,0.00,0
88gr (12).png,False,0.00,0
88gr (13).png,False,0.00,0
88gr (2).png,False,0.00,0
88gr (3).png,False,0.00,0
88gr (4).png,False,0.00,0
88gr (5).png,True,21.66,1
88gr (6).png,False,0.00,0
88gr (7).png,False,0.00,0
88gr (8).png,False,0.00,0
88gr (9).png,False,0.00,0
88gr.png,False,0.00,0
88rfb (10).png,False,0.00,0
88rfb (11).png,True,19.53,2
88rfb (12).png,True,19.73,1
88rfb (13).png,True,26.91,2
88rfb (2).png,False,0.00,0
88rfb (3).png,False,0.00,0
88rfb (4).png,True,17.48,1
88rfb (5).png,False,0.00,0
88rfb (6).png,False,0.00,0
88rfb (7).png,False,0.00,0
88rfb (8).png,True,25.01,1
88rfb (9).png,False,0.00,0
88rfb.png,True,17.27,2
89gr (10).png,False,0.00,0
89gr (11).png,False,0.00,0
89gr (12).png,True,17.65,1
89gr (13).png,False,0.00,0
89gr (2).png,False,0.00,0
89gr (3).png,False,0.00,0
89gr (4).png,False,0.00,0
89gr (5).png,False,0.00,0
89gr (6).png,True,19.71,1
89gr (7).png,True,17.74,1
89gr (8).png,False,0.00,0
89gr (9).png,False,0.00,0
89gr.png,False,0.00,0
89rfb (10).png,True,17.31,1
89rfb (11).png,False,0.00,0
89rfb (12).png,True,13.95,1
89rfb (13).png,False,0.00,0
89rfb (2).png,True,8.85,1
89rfb (3).png,True,27.82,1
89rfb (4).png,False,0.00,0
89rfb (5).png,False,0.00,0
89rfb (6).png,False,0.00,0
89rfb (7).png,True,17.79,1
89rfb (8).png,True,21.26,1
89rfb (9).png,True,22.15,1
89rfb.png,False,0.00,0
90gr (10).png,False,0.00,0
90gr (11).png,True,15.60,1
90gr (12).png,False,0.00,0
90gr (13).png,False,0.00,0
90gr (2).png,False,0.00,0
90gr (3).png,False,0.00,0
90gr (4).png,False,0.00,0
90gr (5).png,False,0.00,0
90gr (6).png,False,0.00,0
90gr (7).png,False,0.00,0
90gr (8).png,False,0.00,0
90gr (9).png,False,0.00,0
90gr.png,False,0.00,0
90rfb (10).png,False,0.00,0
90rfb (11).png,False,0.00,0
90rfb (12).png,False,0.00,0
90rfb (13).png,False,0.00,0
90rfb (2).png,True,17.79,1
90rfb (3).png,True,16.90,1
90rfb (4).png,False,0.00,0
90rfb (5).png,True,21.57,1
90rfb (6).png,False,0.00,0
90rfb (7).png,True,23.56,1
90rfb (8).png,False,0.00,0
90rfb (9).png,False,0.00,0
90rfb.png,True,19.48,2
91gr (10).png,False,0.00,0
